Discipline,Female,Male,Total
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,98,98,196
Artistic Swimming,105,0,105
Athletics,969,1072,2041
Badminton,86,87,173
Baseball/Softball,90,144,234
Basketball,144,144,288
Beach Volleyball,48,48,96
Boxing,102,187,289
Canoe Slalom,41,41,82
Canoe Sprint,123,126,249
Cycling BMX Freestyle,10,9,19
Cycling BMX Racing,24,24,48
Cycling Mountain Bike,38,38,76
Cycling Road,70,131,201
Cycling Track,90,99,189
Diving,72,71,143
Equestrian,73,125,198
Fencing,107,108,215
Football,264,344,608
Golf,60,60,120
Handball,168,168,336
Hockey,192,192,384
Judo,192,201,393
Karate,40,42,82
Marathon Swimming,25,25,50
Modern Pentathlon,36,36,72
Rhythmic Gymnastics,96,0,96
Rowing,257,265,522
Rugby Sevens,146,151,297
Sailing,175,175,350
Shooting,178,178,356
Skateboarding,40,40,80
Sport Climbing,20,20,40
Surfing,20,20,40
Swimming,361,418,779
Table Tennis,86,86,172
Taekwondo,65,65,130
Tennis,94,97,191
Trampoline Gymnastics,16,16,32
Triathlon,55,55,110
Volleyball,144,144,288
Water Polo,122,146,268
Weightlifting,98,99,197
Wrestling,96,193,289
